url;img;position;track;artists
https://open.spotify.com/track/39LnvWUhzakLqVG9T6zUsa;https://i.scdn.co/image/ab67616d00004851bd40cff1404ed7d37e66d204;36;OK Cool (Bonus);['CEO Trayle']
https://open.spotify.com/track/4JeOesjcWWlprTAvucDSJX;https://i.scdn.co/image/ab67616d000048515597dc66a5d954fca364f264;37;People Watching;['Conan Gray']
https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo;https://i.scdn.co/image/ab67616d0000485178376f650afd63698b82e4b1;38;2055;['Sleepy Hallow']
https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S;https://i.scdn.co/image/ab67616d000048518b065a7bfff7655a18bc18ed;39;As the World Caves In;['Sarah Cothran']
https://open.spotify.com/track/6ZJqCviTotiIujl1rfcL53;https://i.scdn.co/image/ab67616d00004851fcc1ef4b803dd2a5acecf42d;40;Passion;['PinkPantheress']
https://open.spotify.com/track/4t2dQ3OQaAJQn52BNszPnY;https://i.scdn.co/image/ab67616d00004851f416fe2400bfccc52add9520;41;Materialism as a Means to an End;['$uicideboy$']
https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i;https://i.scdn.co/image/ab67616d000048515a048cbaa3385de9f723c699;42;Tiroteo - Remix;['Marc Seguí', 'Rauw Alejandro', 'Pol Granch']
https://open.spotify.com/track/3svmi1v7HMlyYb7Pnossz6;https://i.scdn.co/image/ab67616d00004851d5202acc9e7560b483b5a56e;43;Fahrradsattel;['Pisse']
https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb;https://i.scdn.co/image/ab67616d0000485172d28bb056b972b4f6a04bf3;44;Entre Nosotros;['Tiago PZK', 'LIT killah']
https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;45;Ain't Shit;['Doja Cat']
https://open.spotify.com/track/2dQa4RNT22zCHGSingau85;https://i.scdn.co/image/ab67616d000048515a5c96ebc4fe6d691290e5cb;46;Antisocial;['Slump6s', 'BabySantana']
https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP;https://i.scdn.co/image/ab67616d000048517bee23b5177b81131d7d98e9;47;A-O-K;['Tai Verdes']
https://open.spotify.com/track/0KNvJzxdbslBddN27BEhfm;https://i.scdn.co/image/ab67616d000048512b9627d77ff81dfbd14fbb93;48;My Jesus;['Anne Wilson']
https://open.spotify.com/track/67G6iaOw8DZqp1z8STR89R;https://i.scdn.co/image/ab67616d00004851ad89f82d9243ed88a6d68787;49;WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix;['BIA']
https://open.spotify.com/track/3qkHDYDOu1LnDEFP7zII07;https://i.scdn.co/image/ab67616d000048511a33b6fe90422b5fd6bc5bc6;50;Am I The Only One;['Aaron Lewis']
