,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Apê 1001",BIN,222974,https://open.spotify.com/track/3q6ZCGgFDIVCJQ5XG4JTL2
54,"Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",222180,https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp
55,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",212800,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
56,Sigilo,"Guilherme & Benuto",205102,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
57,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",202192,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
58,"Corte Americano","Filipe Ret",201280,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
59,Acaso,"Vitor Fernandes",200414,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
60,"O Ex da Sua Vida","Gusttavo Lima",199588,https://open.spotify.com/track/17Gh6E6eRfAAw7sCgmnkFc
61,"Deixa Eu Falar pra Você","Josué Bom de Faixa",199170,https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
62,"Ele É Ele, Eu Sou Eu","Wesley Safadão",196019,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
63,"STAY (with Justin Bieber)","The Kid LAROI",195510,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
64,"Bad Habits","Ed Sheeran",192062,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
65,"Freio da Blazer",L7NNON,191913,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
66,"Não Parei De Sofrer","Gustavo Mioto",189267,https://open.spotify.com/track/4zN7Kfk6s75jBOEehLHzV2
67,"Ô Moça","MC Zaquin",185279,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
68,"Baile do Cinga do 12","MC Gontijo",184841,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
69,"MODO TURBO","Luísa Sonza",182615,https://open.spotify.com/track/2ip4hxYupn3CSsHjn4l2a8
70,"Need To Know","Doja Cat",182060,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
71,"Volume 3 - Ao Vivo","Douglas & Vinicius",181677,https://open.spotify.com/track/6dJJ9OlxyeXenDCgTGdsTR
72,traitor,"Olivia Rodrigo",178794,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
73,"Foi Pá Pum","Simone & Simaria",167656,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
74,Plutão,VMZ,166650,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
