url;img;position;track;artists
https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP;https://i.scdn.co/image/ab67616d0000485181376e47003d45f6513b5657;35;Love Tonight - Edit;['Shouse']
https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy;https://i.scdn.co/image/ab67616d00004851bec684438c0610c1caab0198;36;KESI - Remix;['Camilo', 'Shawn Mendes']
https://open.spotify.com/track/5bWlXi0npf7uBjBHrcjuNe;https://i.scdn.co/image/ab67616d0000485146a43bf9db1a55d199b6628c;37;MT- AI CALICA QUER DA PROS AMIGO DA BOCA;['Mc Cyclope', 'Dj JT Da Serra']
https://open.spotify.com/track/3CboywxfJIgvHqi2FF4exb;https://i.scdn.co/image/ab67616d00004851d9296492f954b9e422cd79f5;38;Loverboy;['A-Wall']
https://open.spotify.com/track/2prnn41CblB8B4yWACDljP;https://i.scdn.co/image/ab67616d0000485128eec1bed4fe754299ea1e96;39;Love Tonight - David Guetta Remix Edit;['Shouse']
https://open.spotify.com/track/55MzHjHYq3N6V1T97TuKdA;https://i.scdn.co/image/ab67616d00004851d1ded3dc873f599606f96a69;40;Black Lança;['Dj C4', 'Mc Fael Halls', 'Mc DDSV', 'MC Chico']
https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn;https://i.scdn.co/image/ab67616d000048511c8bc55954f403190538ce8f;41;Não, Não Vou;['Mari Fernandez']
https://open.spotify.com/track/6nDSopKJiyH5XfhwNSsKYG;https://i.scdn.co/image/ab67616d000048511f6bdcdb802807d3dd14cfcf;42;Suleban;['William Araujo', 'Dynamo', 'Djodje']
https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb;https://i.scdn.co/image/ab67616d0000485172d28bb056b972b4f6a04bf3;43;Entre Nosotros;['Tiago PZK', 'LIT killah']
https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i;https://i.scdn.co/image/ab67616d000048510953bc41694626f776e47ea5;44;Iko Iko (My Bestie);['Justin Wellington', 'Small Jam']
https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO;https://i.scdn.co/image/ab67616d0000485128976d0c0940104dbb85ce09;45;Pain;['PinkPantheress']
https://open.spotify.com/track/4PUjVQcrNhH85XXyXnnjBd;https://i.scdn.co/image/ab67616d000048513f0b892945fcbc41f35a3a1f;46;BALANÇA A GLOCK;['Mc Jajau', 'DJ LG']
https://open.spotify.com/track/2u1LLm7B1yUggZfMyaZjk9;https://i.scdn.co/image/ab67616d000048515ac68b3c52e5e49106aa53af;47;Dama & Vagabundo;['X-Tense']
https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;48;Need To Know;['Doja Cat']
https://open.spotify.com/track/2bVKqa49KrOX4MDZKiyxbb;https://i.scdn.co/image/ab67616d0000485163a91441485fd87a8817684e;49;Love You Better;['Edu Monteiro']
https://open.spotify.com/track/1Iu66OVgb8wioY6tpesoQS;https://i.scdn.co/image/ab67616d0000485149bd2ec205b205768f97f817;50;You Should Be Dancing;['Dee Gees']
